id;Sentiment;Text Tweet;user
1;Negative;ptm 50% gaenak Ya Allah :(;sambattonly
2;Positife;enakan ptm;formetawinn
3;Positife;Ya Allah ketemu ginian lagi, ya kalo sekolahnya pjj ya udah pjj, kalo sekolahnya ptm yaudah ptm dah. Gw sih tim ptm \n\nKatanya kita harus hidup berdampingan dengan virus, mau ga mau hidup atau ngga ya tetep ae hidup berjalan ngalir';tmnRLgbolehtau
4;Positife;enak msi ptm;parkgaeul_02
5;Positife;semangat ptm nya nia;bluexngrey
6;Positife;ini serius gua pjj lagi? AAA PADAHAL PTM LEBIH ENAKK MATERINYA GAMPANG MASUKKK;anjaimey
7;Positife;b'@ygearlert nooo ptm asik';guitarxs
8;Negative;ptm 100 persen bikin capek;echanufe
9;Positife;b'RT @inahstudy: @schfess lebih suka ptm.. :( kirain bener yg katanya virus itu harus dinormalisasikan... :((( gamau pjj soalnya banyak kecurangan;natabe_loey
10;Positife;duh gaenak bgt pjj udh pw ptm tiap hari;liveurrIife
11;Positife;padahal rutin ptm ngatur anxiety gue banget banget tapi yaudala. stay safe ya semua;januaryblessed
12;Negative;Universitas Brawijaya (UB) Malang berencana mengurangi kuota mahasiswa yang mengikuti pembelajaran tatap muka (PTM) menjadi 25 persen;tempodotco
13;Positife;Padahal pas ptm santay bgt;mtchgrnx
14;Positife;semangat ptm nya chaa;bluexngrey
15;Negative;ptm aja kaga paham apa2, aplgi pjj yg tidur doang;jyancuks
16;Positife;Bnerrr enakan ptm;jnghwnuna_
17;Positife;Sebenarnya mah klo gada kasus meninggal yaa terobos aj sih PTM, org klo di PJJ juga pada keluyuran main sana sini;jnghwnuna_
18;Positife; aku ptm uda dari novemberrr;cloupssy
19;Negative;Sebenernya ptm udah cukup efektif bgttt, gue jga udah nyaman ptm... tapi kalo liat kyk gini mending pjj sihhh, serem;urpussyisgod
20;Negative; Aku suka ptm, tapi kalau situasinya kek gini gapapa deh pjj lagi, yang penting sehat seenggaknya sampe hari utb;urpussyisgod
21;Negative;Menyusul Adanya Lonjakan Kasus Covid-19 di Tanah Air, Sejumlah Sekolah Hentikan Sementara PTM;KompasTV
22;Negative;ptm ak dah diberhentikan;raincbou
23;Negative;PTM dihentikan, seharusnya pemerintah melalui @kemenpendidikan untuk cari teknik pembelajaran terbaik, ini sdh 2 tahun loh... teknik dan waktu pengajaran daring diperbaiki.. sy percaya di kementrian banyak orabg2 smart seperti @nadiemmakarim;purwakarta99
24;Positife;yang setuju PTM 100% tapi pas ulangan di rumah cung;oneechannnn_0
25;Positife;yg PTM cmn 5 org jadinya Privat Tatap Muka  \xf0\x9f\x98\xad semangat gaisss;littleecandyy
26;Negative;sekolah aku maksain banget buat tetep ptm 50% pdhal udah beberapa orang positif, kan bisa yaa 2 minggu dulu full online baru ptm 50% lagi, jujur takut banget mau masuk sekolah hsjsjs sebenarnya tuh lebih takut kalo kena terus nularin ke orang rumah;Chocogyul_
27;Positife;sebenernya kasus kematian udh berkurang drastis meskipun kasus naik yaa karena udh pada vaksin, klo blom yaa resiko..;HollandGurls
28;Positife;di surat edaran sih tgl 7 udh ptm lagii, tapi gatauu :(( ga enak bgt pjj ginii;zzlyxschn
29;Positife;Ada satu sekolah di Bekasi\nPTM ditutup pemerintah\nTapi tetep masuk\nNgga usah pake seragam\n:(\n\nKenapa tetep PTM? Karena mos;no_mi_nom_bre
30;Positife;ptm dong..;onlyyya1
31;Positife;"org"" kok pada demen pjj dah wkwkwkw, iya gue tau emg situasi nya ga memungkinkan bgt buat ptm, tapi ya ka";HollandGurls
32;Positife;enaak ptm plis;guitarxs
33;Positife;waduuh, stay safe ya hanaa!! dont forget your prokess!!! adikku jg skrg 50% ptm selang seling masuknya, misal hari ini masuk bsk libur gituu.  kalo km berarti full online ya???;hourlybeauty
34;Negative;gw ptm huft udh sebulan;suckved
35;Positife;sbnrnya kalo aku kls 11 ato 10 gt milih ptm, kalo kls 12 ga dl deh malah makin byk tugas kelompok+blm lagi ngejar materi utbk.;japchaye
36;Negative;Lebih males ptm;kakuchodet
37;Positife;aku masih ptm nih;cigyukim
38;Negative;Baru ptm sekali udah pjj lagi gara gara kakel kena covid pas imlekan;Sky14896823
39;Positife; enakan ptm tau bisa ketemu temen + DAPET UANG JAJAN;nzzjm0
40;Negative;Jujur aja dari awal udh ada perasaan ptm 100 persen gk bakal lancar dan bener aja;setauni
41;Positife;belum ada info dari sekolah tp udh lama bgt sekolah gue ptm dluan;maslucaswife
42;Negative;sama, lg have fun ptm tbtb pjj lg;vctwoze
43;Positife;ko udaa pada ptm si??? aku yg pjj iri;guitarxs
44;Negative;wkwkwkwkwkwkkwkwk udah duluan ga ptm dari kemaren wkwkwkkw;kmciaa
45;Positife;tp lebih suka ptm sih;orenjiil
46;Negative;Selama status PPKM level 1-2 wajib PTM. Kalau misal dinaikan PPKM L. 3-4..apa mau ? Kalau buat saya PPKM L.3 - 4 itu HORROR..belum setahun masa sudah pada lupa ?;HendroWibowoYZA
47;Positife;mau ptm;oikawajakut
48;Negative;kata gue sih gausah maksa ptm dah;whoisafira
49;Negative;PULANG LAH AKU KLO PTM NANGIS;O6O6sites
50;Negative;Sejumlah kepala daerah memutuskan menghentikan pelaksanaan PTM. Sementara untuk DKI Jakarta, Anies Baswedan menunggu keputusan;fadli_tamam
51;Negative;Anies Baswedan Sudah Usulkan ke Menteri Luhut Agar PTM Dihentikan Lagi Sebulan Penuh;ArzetiSilfia
52;Positife;ptm, tp masuk siang;jiyike
53;Negative;pagi ini pjj ntar siang ptm tai bgt ga tuh wkwk, makaziii, u too;naescafee
54;Negative;hdeh ptm 50% lg;jminecityx
55;Positife;lebih suka ptm, klo pjj bawaannya pengen rebahan trs;kurapipka
56;Positife;gue gamau pjj lagi pls.. mending ptm 50% aja;jmnboys
57;Negative;katanya ptm biar bisa ngerti pelajaran biar otakny berguna, lah malah koyo ngono. hdhhhhhh wagu;sxtyyc
58;Positife;senin depan ptm;snjinx
59;Negative;Skolah ku bnyk yg sakit.. sama aja si mreka yg sakit bkal ktinggalan plajaran emng lbih baik pjj atoga ptm 50% ajaa;renpuffie
60;Negative;PTM kasih ke ga percaya covid aja. Mau liat mereka sesak napas pake oksigen.;RandyIraa
61;Negative;ptm suka pjj juga suka, i love both, kalau keadaannya memaksa buat pjj that's okayy for meee, cuma lebih baik ptm 50% lah kalo dirumah hawanya males buat pahamin materi karena deket sama kasur;frdfrdohmnon
62;Negative;noted! rada takut juga sih kalo mau sekolah pas ptm karena rame banget dan udah ngerasa bakal ada yang kena :(;callamily
63;Positife; yupp aku ptm nii jd harus semangatt, have a greay day too;3raxcha0
64;Negative;udh pjj lagi aja, banyak gaya jga ptm 100% di kira siswa nya semua pada taat prokes kali wkwk;ddi0nysuss
65;Positife;Wah, makin lama makin arogan dan nggak masuk akal nih himbauan satgas @satgascovid19id, berarti pemulihan ekonomi itu cuma omong kosong dong? Justru banyak pedagang kecil yang berharap perputaran ekonomi normal kembali dari kegiatan PTM, yang sekarang terancam distop kembali.;AZHARFRS
66;Positife;YAKAANN gamauu:((\nenakan ptm walopun lebih capek;iniiivii
67;Negative;ptm capek kack;risolcakwe
68;Positife;samaaa, wlu ptm juga banyak tugas ga sestres pjj.\nkaya tugas banyak tp masih bisa sosialisasi sm orang, dirumah stres;jiaanrt
69;Positife;PTM 50%\nSemoga lekas membaik;SegoGudegEnak
70;Negative;anj gue gajadi ptm 100%;snafflewizpy
71;Positife;enakan ptm deh drpd daring.\ndaring tugasnya banyak banget dibanding ptm;bbkeeyz
72;Positife;smangat ptm nya met;imyourniell
73;Negative;sumpah ini ptm lagi kapn si pjj bikin ngantuk;hasnaayyjm
74;Positife; 6/10 aku cpe bgt ptm tp main sm temen2 smp!! seruuu;yeagervinn
75;Negative;yhahhahahahahaha, emg  labil. udah dibilang mendingan pjj dulu sampe bener-bener aman, biar gak gini ptm bentar;lewoouwu
76;Positife; i-iya juga sih... :) TAPI PTM lebih seru kalo PJJ nanti tambah teu ngerti pelajaran shsh;jwrs_3to3
77;Positife;gwh ptm ni sdh mw presentasi;renjunlovvs
78;Positife;adek w baru aja ptm 100%;lovelykjk
79;Positife;Plis lah sekolahku baru mau ptm masa gajadi;cilbocill_
80;Negative;"Jujur capek sekolah ptm,bukan karna tugas doang tpi karna harus ketemu bnyk org+interaksi juga\nMana gua tuh klo udh interaksi banyak"" ama org suka cape ya,trus otak tuh jdi ngeblank,ngomong jdi aneh/gajelas\nTpi klo pjj,ntar gua makin parah,makin ansos'";SerendiPina_
81;Positife;enak bangeet ptm, di sekolahku jd pjj lagi :(;kacangmadua
82;Positife;kan aku PTM kak makanya rajin;jjyugniuss
83;Negative;PTM dihentikan dulu sampai batas waktu yg tidak ditentukan;annenovy
84;Negative;Balik lagi PJJ. Kasihan banget adikku padahal belum ada sebulan PTM lagi.;d_ddableu
85;Positife;udahhh plg bener ptm 50% ajaa trs prokesnya diketatin dr pihak sekolah;catishot
86;Positife;Kangen ptm;seokiekasa
87;Positife;semenjak ptm w bangun nya subuh banget;sunghoonpwarkkk
88;Negative;Pada masa PTM Terbatas dan PTM 100 persen, kita kerap melihat cukup banyak anak sekolah yang saat pergi ke sekolah atau pulang dari sekolah tidak menggunakan masker.;kompasiana
89;Negative;yhaaa gabisa ptm yaaa;deathhdumb
90;Positife;anak skrg kalo pelajaran maunya ptm, kalo ulangan maunya online;nyfthh
91;Positife;huhu iya online tuh kdg ga enak :( semoga cepet balik ptm lagi ya;ramyeonspicy
92;Positife;edisi ptm check. sayang banget minggu ini full pjj, gatau sih minggu depan gimana;vanuerabee
93;Negative;Hehehe TPI PTM tugasnya ga manusiawii;pin_uts
94;Positife;wahh semangat ya online nya, semoga bisa cepet balik ptm lagi;ramyeonspicy
95;Negative;Orang tua kuatir PTM 100%\nanaknya takut sama guru\ngurunya takut sama Kepsek\nKepseknya takut sama Diknas\n\nteruuuuuussss...;Brunowicaksono
96;Positife;gw mahasiswa, dan yg katanya mau ptm di semester ini eh malah ada rumor kalo ptm bakalan di batasi dan kemungkinan bakalan pjj, sumpah sih nyesek banget pdhl udh ngarepin;vvitamyn
97;Positife;ko enak si ptm;guitarxs
98;Negative;udh sebulan ptm ehh pjj lagi soalnya banyak yg kena;OhChel_
99;Positife;gue jg suka ptm, lebih ngerti materi soalnya gurunya jelasin lgsg. diskusi sm tmn jg jd lebih enak. tp kondisi nya lg kyk gini, jd ya lebih baik pjj lagi aja. setidaknya ada upaya untuk memutus rantai virus ini.';voguemevoyes
100;Negative;mau pjj gue capek banget ptm';harujaejunk
101;Positife;Aku pjj lagi nder malah loyo. Kl ptm semangat;shoyourange
102;Negative;Kalau sekolah swasta rata2 sdh berhenti PTM dari pertengahan Januari lalu.\nAnak2ku sdh balik full online sejak itu.\nUntungnya anak2ku sdh beradaptasi dgn belajar online, jadi gak terlalu stress spt awal pandemi dulu.';mickeynasution
103;Negative;dari awal ptm aku sih udh loyo;LVuittonJK
104;Negative;STOP PTM 100%\n\nSaya yg pertama kali akan menyatakan....\nSETUJU......\n\nKeselamatan anak didik adl yg pertama dan utama;BumiMerahPutih9
105;Negative;Gapapa ptm tapi jan sampe sore anjir aku mau belajar utbk dah capek raga duluan mana tetep ada pr:');Lessakurafim
106;Negative;loyoo, soalnya sakit badan mulu gw abis ptm tuh;lvlyjjh
107;Negative;yok isi petisi tolak ptm 100%;jipfess
108;Negative;Stop PTM Pak @aniesbaswedan\nBandel bandel dikit gak apa lah Pak...\ndemi keselamatan anak anak sekolah pak.;tjapoenglaut
109;;tim tetap PTM;pancakesbubbly
110;Positife;gw pengen nangis deh sekolahnya pjj lagi. gakuad tugasnya banyak banget dibanding ptm kemaren;dekyungcoty
111;Positife;ehh enakan ptm tauu;jwoyeoon
112;Positife;gbsgbs, enakan ptm dongg;kachoouw
113;Positife;yahhh semoga info selanjutnya ptm lg;MilesMcStuffins
114;Positife;PTM 50% gaenak ya ternyata:(( walopun skrg aku kebagiannya PJJ tp rasanya beda aja ga kek PJJ biasanya:((\nEnakan PTM 100% kl ga PJJ aja 100% sekalian..;yaiyagituuu
115;Positife;Udah ptm terus Alhamdulillah sini aman;Floweys_
116;Positife;ptm,dan semoga masi tetap ptm;naya_lian
117;Positife;Ya Allah jangan sampe ptm 50% berakhir plis. Tdk ada pemasukan;vjisunghan
118;Positife;kangen ptm;ssyambs
119;Positife;gua juga suka ptm anjjr dpet duit jajan tpi mikir jg kondisiny skrng malah sakit gini gua;exileary
120;Positife;Sebulan doang ptm 100%nya wkwk, abis tu ptm 50%;YJYJYJYJ_
121;Negative;Anies Minta PTM 100 Persen Dihentikan Sementara, Jubir Luhut: Sedang Dipertimbangkan;aldotjahjadi8
122;Positife;skrg sampe besok pjj, semoga senin balik ptm lg si;jyancuks
123;Positife;gak usah ptm 100% juga gapapa, 50% aja gue udah bersyukur banget.;mjolnoir
124;Positife;Mangatts nderr, semoga cpt balik PTM lagi;Bundsary
125;Positife;Kok ada org suka PJJ sih menurut gue PJJ hidup gue gk bermakna bgtt adanya stres dirumah.  Sebulan ptm rasanya hidup gue ada cerita nya gue ingin hari ini ngapain, kemarin ngapain tpi klo PJJ hidup gue kaya gk berkesan sama sekali.. ya tuhan gue cuma Pgn virus ini segera berakhir';ydmnbl_
126;Negative;well gue suka bgt sama ptm tapiiiiii for now i prefer pjj gatauu yaa tp di sekolah gue untuk pjj udah lumayan bgt jadi gue masih bisa ngerti materi, sekolah gue literally se effort itu untuk pjj jd gue gak masalah kalo pjj;vernmood
127;Negative;Dari cerita teman2 yg masih punya anak usia sekolah banyak yg terpapar di sekolah krn banyak yg udah mulai ptm 100%;christiana_dewi
128;Negative;takut ptm lgi deh;jaheecityx
129;Positife;mas mentri @nadiemmakarim #PTM jagn dihentikan, seharusnya sekolah yg memberikan keyakinan kepd orangtua murid bahwa prokes ketat diberlakukan di sekolah, jgn kalah dengan pusat hiburan dan perbelanjaan pak, tmpt pendidikan jgn kalah dgn tmpt hiburan';rezadung
130;Positife;selamat pagi dari aku yang ptm;watashiure
131;Negative;rasanya aneh harusnya ptm malah pjj, tapi ya gak mau ptm juga. takut;011510h
132;Negative;gimana sih rasanya pas lu udah siap tinggal berangkat sekolah tapi ternyata ptm nya diberhentikan? SUMPAH GUE BADMOOD BANGET!!;thisuserisjaegf
133;Positife;anjg kapan ptm lagi dah gue butuh duitt buat marett;mooddyswing
134;Positife;gue uda nyaman bgt ptm sumpah trs jg sekolah gue baru ptm 3minggu ajg maksudnya apa lgsg pjj lg semuany grgr co*id tai;ssunqmi
135;Negative;"sebenernya masih mau prefer ptm, tapi karena ex-penderita covid banyak yang nunjukkin daya ingat &amp; tangkap otak berkurang mending pjj aja deh ga mau kena ";virgothingy
136;Positife;kalo ptm tuh kaya semangat aja belajarnya kalo pjj bawaannya pengen bobo terus :(;sciencelyz
137;Positife;"org"" kok pada demen pjj dah wkwkwkw, iya gue tau emg situasi nya ga memungkinkan bgt buat ptm, tapi ya kalian harus doa yg baik"" lah, juga minim ptm 50% dh lebih dari cukup, kalo pjj lagi ya jenuh anying dh 2taun dirumah bukannya tambah pinter malah goblok'";l0eydust
138;Negative;Aku juga mau pjj lagi nder, ga nyaman banget ptm;lovellya__
139;Negative;Sejumlah kepala daerah memutuskan menghentikan pelaksanaan PTM. Sementara untuk DKI Jakarta, Anies Baswedan menunggu keputusan Luhut Pandjaitan;detikcom
140;Positife;Harusnya orang2 yg parno spt anda homeschooling aja atau hidup di gua aja, anak2 itu meski di rumah jg mainan dg teman tanpa prokes, ngapain bingung urusin PTM yg ortunya sdh setuju;Sambern86576955
141;Positife;ptm nih,semoga ga pjj deh masa baru sebulan ptm udah pjj lg huhuhuu;woojikey
142;Positife;"Ptm soalnya kalo ngejelasin lebih cepet paham &amp; dpt uang saku";cutiexunqi
143;Positife;Vaksinasi digelar dalam rangka mendukung pelaksanaan pembelajaran tatap muka (PTM);lipsrtick
144;Negative;PJJ, PTM tu kadang sebel gurunya tu niat ga niat ngajar banyak jam kos nya gitu;kksmtaa
145;Negative;sekolahku ptm 100% terus apa gapapa ya, aku sendiri yang khawatir. padahal di sekolah udah sering banget yang izin sakit ;theoneinpluto
146;Positife;enaknya ptm kalo jawab pertanyaan, maju ke depan ngerjain soal, nanya pertanyaan yg bagus dapet nilai tambahan;huksoju
147;Positife;w masih tim ptm walaupun males bangun pagi;huksoju
148;Positife;enakan ptm tapi ya emang capeknya kerasa banget, cuma kalo pjj tugas makin numpuk jir... Apa apa susah;huksoju
149;Positife;Semoga ptm 100% aamiin\nBerharap aja walau sekarang banyak yang pjj;wonuuyu
150;Negative;'@jaeminflurry Hadeuuuhh gak kebayang aku kalo PTM bakal secapek apa';evantely_
151;Negative; Ya Allah berharap banget skul gue pjj lagi, tidak kuat ptm lelahhhhh;hcneysseus
152;Positife;alhamdulillah sy mulai ptm 100% tadi pagi;habezhabez
153;Positife;aku mw ptm aja dirumah tertekan;poekimay
154;Negative;Pembelajaran Tatap Muka (PTM) di Tangerang Raya, Kota Bekasi, dan Kota Bogor dihentikan setelah kasus Covid-19 terus meningkat. Akan tetapi, PTM di DKI Jakarta justru masih akan dilanjutkan;BBCIndonesia
155;Negative;Untuk sekian kali. Tolong pertimbangkan pelaksanaan PTM 100%. Positivity rate Indonesia sudah mencapai 12%. Bahkan peringkat jumlah kasus baru mingguan kita sudah mengalahkan Afrika Selatan dan mendekati Malaysia di Worldometers. Terapkan mode sekolah virtual;ProfesorZubairi
