id;Sentiment;Text Tweet;user
274;Negative;b'kenapa kesannya malah kaya maksain ptm banget like chill bro ini bener2 udh masuk gelombang 3 kenapa ga sekalian online aja';yourbabyfeeder
275;Positife;b'Page 33 of 365\n\nHari ini PTM 100% hari pertama. Ngerasa takut, karena udah sekolah semua. Tapi, setelah dijalani lumayan menyenangkan. Yang penting udah berusaha, jalani sepenuh hati. Semangat!!\n\nRabu, 2 Februari 2022\n\n#SeCerita\n#SeptInFebruari';_septiaaana
276;Negative;b'@schfess Masih ptm 100% cuman kadang suka ketar-ketir soalnya sekolah di sby udah pada pjj lagi nah di daerah ku beluman';plethoranium
277;Positife;b'@schfess Jan sampe pjj lagi plisss setelah dua tahun loh, sekarang baru bisa ngerasain PTM 100% tuh seneng banget \xf0\x9f\x98\xad jan sampe pjj sekolahku jan sampe \xf0\x9f\x98\xad';Nanakyu96
278;Negative;"b'@schfess sebenernya lebih suka ptm, soalnya lebih berasa gt ""sekolah""nya.. tp skrng lebih mending online aja deh soalnya kaya waktunya lebih santai, bisa nyolong2 belajar utbk.. kalo ptm habis sekolah udah cape bgt ditambah lagi tugas2 hikz'";mengambisduluya
279;Positife;b'Gatau pokoknya sayang bgt sama ptm meskipun banyak tugas';rgkkyjo
280;Negative;b'baca berita covid gelombang 3 binggung mau seneng apa sedih, lebih suka pjj tapi kalo ga ptm ga bisa ngeliatin mas crush tiap hari \xf0\x9f\x98\xa4';aafifaifa
281;Negative;b'\xe2\x80\x9cSaya menyampaikan usulan agar untuk Jakarta, PTM atau pembelajaran tatap muka ditiadakan selama satu bulan ke depan,\xe2\x80\x9d kata Anies. #kumparanNEWS https://t.co/A71DKaARX0';BangUkis
282;Negative;b'@schfess Pengen jugaa, tpi baru besok mulai ptm ny, pjj aja lagi pliss';40o4notfound
283;Positife;b'Kenapa si, aku juga pengen ngerasain PTM masa aku kurang 2 tahun ga pernah ke sekolah buat PTM \xf0\x9f\x98\xad. Sedih banget udah stress capek, ngulang dan mengulang.';txtisTXT
284;Positife;b'udh nyaman ptm, eh mulai pjj lagi\xf0\x9f\x98\xad';jeonmytimess
285;Positife;b'Untuk orang-orang di lingkungan gue ini, lebih baik PTM walau risiko tertular Covid dibandingkan PJJ tapi anaknya nggak sekolah \xf0\x9f\xa5\xb2';annisa_it
286;Negative;b'mnding sekolah online deh keknya daripada PTM\nudah PTM, ditambah tugas lagi anjj https://t.co/xoS8L4MkGR';vibingwithdvxrz
287;Negative;b'masih ptm semoga pjj gue capeekk, bosen ptm mulai september\xf0\x9f\x98\xa9 https://t.co/aB7BmkUca3';aiceeecream
288;Positife;b'lbh suka ptm jujur, gue kalo di rumah kaya ga ada kerjaan di kamar mulu bosen pgn ptm lagiiiiii';hoontsel
289;Negative;b'gila ptm 100% fullday setelah sekian lama secapek ini anjir';jnbluesun
290;Positife;b'@schfess untuk bbrp mapel enakan ptm soalnya gurunya asyik, tp ada guru yg gaenak mendingan belajar onlen\xf0\x9f\xa5\xb2';bl00eskyy
291;Positife;"b""buat yang ptm nya udah 100% semangat yaa! i know it's tiring and i know you can pass it. seru tau, ketemu banyak temen dan dapet uang jajan apalagi yang punya crush di sekolah wah penyemangat sekali :D""";salsa_thoughts
292;Negative;b'haloo semua, hari ini aku ngga up progress ya, karena tadi aku ptm full dari siang sampe sore dan pulangnya aku langsung les, huft, cape banget jadi aku ngga sempet buat belajar lagi di rumah\xf0\x9f\x98\xae\xe2\x80\x8d\xf0\x9f\x92\xa8. \nRest well semuanya! good night!';gumieo_o
293;Positife;b'@schfess ptm, belajar online cm ngangong doang jg waktunya abis buat nugas';id99nom
294;Negative;b'pengen pjj aja kalo gini caranya, ptm 100% tugasnya banyak \xf0\x9f\x98\x94\xe2\x9c\x8b\xf0\x9f\x8f\xbb';heheamel
295;Negative;b'Sumpah udh bnyk kasus c19 tp masih aja di ptm in anjir gue tkut\xf0\x9f\x98\x94';CHENLERBY
296;Negative;b'pengen pjj aja kalo gini caranya, ptm 100% tugasnya banyak \xf0\x9f\x98\x94\xe2\x9c\x8b\xf0\x9f\x8f\xbb';heheamel
297;Positife;b'@schfess ptm. online udah eneg sayanya, kalo ptm tuh g bosen';channiecup
298;Negative;b'Pjj aja lagi nggak sih\xe2\x80\xa2\xcc\x81  \xe2\x80\xbf ,\xe2\x80\xa2\xcc\x80\nPtm tugas nya tambah banyak soalnya \xc3\x93\xe2\x95\xad\xe2\x95\xae\xc3\x92 https://t.co/nW8LxMpy4q';sweetbobaaaaa
299;Positife;b'Asik sih... Aku bisa jajan. Kangen kuliah ptm https://t.co/PzoQF6XDc9';dlcyun
300;Positife;b'@schfess ptm\n1. materi lbh gampang diterima\n2. tgs deadline nya seminggu sampe pertemuan berikutnya\n3. dpt uang saku\n4. tidur lbh teratur';seishuiinu
301;Negative;b'@berlianidris Sedih, sekolah yg udah PTM jadi online lg, mau jadi apa pendidikan kita :(';kangf4j4r
302;Negative;b'males ptm sat';hooneeystaars
303;Negative;b'@schfess sekolah gue belum, padahal gue udh capek ptm';alienbulann
304;Negative;b'Gue sebenarnya gpp sih mau pjj atau ptm. Cuma gara udah lebih setahun di rumah aja (beneran jarang keluar), kayak ngerasa takut aja mau ptm. Takut untuk ketemu org baru, soalnya gua kemaren maba dan baru pertama kali jg jauh dari ortu. Walau capek bgt tp gua mau pjj aja sih huhu https://t.co/BsFMypW5L1';cursexgirl
305;Positife;b'@schfess alhamdulillah masih ptm, semoga slalu ptm sih';mangocheeps
306;Negative;b'Anies Baswedan meminta pemerintah pusat untuk mengizinkan DKI menghentikan sementara pembelajaran tatap muka (PTM) seiring dengan terjadinya lonjakan kasus Covid-19. | #Megapolitan \n\nhttps://t.co/BJ1apsajtj';kompascom
307;Negative;b'bisa bisanya sekolah gue udah ada 2 anak yg positif malah tetep di ptm in gila aja, ya walaupun gue emg pengennya ptm tapi kaya ajdbajakwk sekolah sebelah aja satu anak positif semua di daringin';jenoleela
308;Negative;b'kenapa punggung lebih sering sakit semenjak ptm\xf0\x9f\x98\xad';kayjoonchwe
309;Positife;b'emang aku cocoknya ptm aje dah, pjj ginj berasa kosong bat otakku \xf0\x9f\x98\x83';alspov
310;Positife;b'udah seneng ptm soalnya ngga terlalu stress tiap hari hadepin masalah di rumah eh ternyata di pjj in lagi, tapi gapapa. semangat aku, semangat yang baca, dan juga semoga lekas membaik bumiku \xf0\x9f\x92\x99';convomf
311;Positife;b'padahal dh nyaman ptm 100% :(';szeyyeon
312;Positife;b'Lebih enak ngajar PTM dibanding PJJ, tapi gimana ya kasus corona makin tinggi \xf0\x9f\x98\xa9';saysila_
313;Negative;"b'sumpah ptm buat badan jadi kaget. pegel"" sm sering capek pls'";bellveupolk
314;Positife;b'PTM!! gw udah ngerasa nyaman sm sekolah gini\xe2\x98\xb9\xef\xb8\x8f sekolah sekarang udah bener bener kerasa rumah kedua.. gamau belajar online lagi.. :( https://t.co/M1rZDcySQ1';halominho
315;Positife;b'@schfess Ptm soalnya lebih enak dan bebas interaksi sama gurunya + enak juga interaksi sama temen temenya ga jaim jaim';eskopiiiiiiii
316;Negative;b'males bgt besok ptm';enhqypen
317;Positife;b'pls lebih baik aku ptm tp gak ada temen, daripada pjj terus materi yang dijelaskan guru gak ada yg aku ngerti \xf0\x9f\x98\xa3\xf0\x9f\x98\xa3';mochiamuse
318;Positife;b'Please PTM. Walaupun PTM cape, tapi onlen lebih cape';sunblockshine
319;Negative;b'Hentikan PTM sementara di Jakarta, Pak. Sampek positivity rate turun drastis. https://t.co/KrXynm9nJu';chuplizz
320;Positife;b'@bbyprple iyaa, klo ptm juga deadlinenya biasa sesuai jam pelajaran dan klo di sekolah kan gampang kerjain bareng temen juga jadi cepet selesai';xiaehyun
321;Positife;b'aku tu kalo ptm ngincer uangnya pliss... mau cb dream uang baru kekumpul 150.. mana ntar pjj lagi kan ga di kasi uang\xf0\x9f\x98\xad';jjmnwnz
322;Negative;b'Di kelas gue udah 7 orang yg positive, tapi masih lanjut ptm? Anjirr anjirr, percuma jugaa ptm guru ga brani masuk kelas gue';junmyeonnnie_
323;Positife;b'@nctzenhalu 10/10 seru lah ya, ptm 100% walau cape juga sih\nmimin gimana? udh full 100% belum?';pouzelle
324;Negative;b'@schfess anehnya lebih ngerti, ptm berisik ngerti engga pusing iya';urfavgu38223663
325;Negative;b'Aku semenjak ptm 100% hampir tiap hari ada pr anjir..';vionachoix
326;Negative;b'ptm ga enak waktu leha leha kepake buat setrika seragam,beresin buku,siapn bekel,perjalanan ke sekolah tpi seruu banyak hiburan , pjj banyak waktu leha leha tapi suntukkkk masa gue ketawa ama tembok';jjjjnhkchw
327;Positife;b'@zrknva Udah nyaman ptm masalahnya \xf0\x9f\x98\xad\nJd agak kecewa juga :(';hannie_0914
328;Negative;b'Pengen PJJ, sekolah gw ttp ptm. Gw tiap sekolah selalu was-was \xf0\x9f\x99\x83';wonurideulll
329;Negative;b'semoga ptm minggu depan gajadi \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb';canpva
330;Positife;b'Pengen balik ptm\xf0\x9f\x98\xad kalo pjj gak dapet duit gak bisa jajan\xe2\x98\xb9\xef\xb8\x8f';pandahoon_ie
331;Positife;b'mau ptm please, ga mau pjj.. katanya diperpanjang sebulan. nanti masuk\xc2\xb2 usbn GA SUKAAAA';br0ckye
332;Negative;b'Covid-19 Meningkat di Lingkungan Pendidikan, Pemkot Bogor Hentikan PTM Satu Minggu - https://t.co/lOtFUkQE0E';web_bogorkita
333;Positife;b'Heh ga asik bangettt, masa ptm sampe akhir februari ajaaa huaaaa\nGamau daring\xf0\x9f\x98\xad\xf0\x9f\x98\xad';milapebrianiii
334;Negative;"b'""Omicron rawan bukan hanya untuk lansia, tapi juga anak-anak, khususnya yang di bawah 5 tahun. Ini serius. Makanya saya selalu bicara untuk berhentikan PTM karena kita harus meminimalisir kasus,"" ujar Dicky.\n\nhttps://t.co/isVBbhmyCb'";tribunnewswiki
335;Negative;b'ribet bgt ptm, pgn onlen aja\xf0\x9f\x99\x83';janewh_
336;Positife;b'enak ptm 100% ramee';theechans
337;Negative;b'Aku udah uninstall apk meeting online karna udha siap mau ptm..ehhhh kemarin turun surat katanya ptm diundur april..hadeh https://t.co/2RJjPAUzTv';seesaw_fy
338;Negative;b'ptm emg enakk , tpi jarak rumh ku ke skola tu 45 menit jadinya bikin capek di jalan harus bolak balik \xf0\x9f\x98\x94\xf0\x9f\x98\x94\xf0\x9f\x98\x94';lovmklee
339;Positife;b'di sklh doang tmpat yg ga mikirin beban, walau ada mapel susah mlh lebh enak di sklah, snyam\xc2\xb2annya pjj, ptm lbh asik... \xf0\x9f\x98\x9e\xe2\x98\xb9';ilyasahism
340;Negative;b'males ptm tp lebih males di rumah';ramyecnz
341;Positife;b'@lovmklee Jujur saja ptm, soalnya klo pjj saya malah ketinggalan banyak';PRKJSUNGSSI
342;Negative;b'RT @LMJM08: @schfess gatau, full ptm mnurut ku gk asik, tmn sekelas bnyk yg prik';akuduchess
343;Positife;b'@schfess PTM. soalnya kalo online stres di rumah, stres sama orang rumah.. gaada hiburan. kalo di sekolah kan ketemu temen, dapet uang sangu https://t.co/ghmBRqlDGI';avocuddless_
344;Negative;b'RT @HaiMagazine: Kasus Omicron Naik, PTM SMA dan SMK di Tangerang Raya Dihentikan https://t.co/AK4smyhpY6';pandurosshi
345;Negative;b'Sejumlah Siswa Terpapar Covid, SMK Indonesia Putra di Kota #Blitar Hentikan PTM\nhttps://t.co/WFkP8bCCtW, #Blitar \xe2\x80\x93 Sekolah Menengah Kejuruan (SMK) Indonesia Putra, ...\n.\nBaca selengkapnya : https://t.co/RMyTnUNMv8\n.\n#BeritaBlitar #KanalStright #KotaBlitar #SiswaPositifCovid19 https://t.co/9Mg7JkmV0R';satukanalcom
346;Positife;b'@zaraamoon_ sama nih ak juga baru dikasih pengumuman pjj lagi, padahal udh nyaman ptm \xe2\x98\xb9\xef\xb8\x8f';yeonestly
347;Positife;b'jujur skrg udah nyaman bgt ptm \nw emoh pjj lagi\xf0\x9f\x98\xad https://t.co/QIMFgUi7U6';hancioqyu
348;Negative;Masi ptm pdhl pngn pjj lgi biar bisa lama rebahan;gieellgia
349;Negative;"b'sumpah kl kek gini mendingan pjj, ptm apa anjg kgk jelas tugas malah makin banyak, blm presentasi presentasi lainnya????@/$:):&amp;,?:&amp;:$3@\xe2\x80\x9c/@:)/?'";2j_inmyh
350;;;
351;;;
352;;;
353;;;
354;;;
355;;;
356;;;
357;;;
358;;;
359;;;
360;;;
361;;;
362;;;
363;;;
364;;;
365;;;
366;;;
367;;;
368;;;
369;;;
370;;;
371;;;
372;;;
373;;;
374;;;
375;;;
376;;;
377;;;
378;;;
379;;;
380;;;
381;;;
382;;;
383;;;
384;;;
385;;;
386;;;
387;;;
388;;;
389;;;
390;;;
391;;;
392;;;
393;;;
394;;;
395;;;
396;;;
397;;;
398;;;
399;;;
400;;;
401;;;
402;;;
403;;;
404;;;
405;;;
406;;;
407;;;
408;;;
409;;;
410;;;
411;;;
412;;;
413;;;
414;;;
415;;;
416;;;
417;;;
418;;;
419;;;
420;;;
421;;;
422;;;
423;;;
424;;;
425;;;
426;;;
427;;;
428;;;
429;;;
430;;;
431;;;
432;;;
433;;;
434;;;
435;;;
436;;;
437;;;
438;;;
439;;;
440;;;
441;;;
442;;;
443;;;
444;;;
445;;;
446;;;
447;;;
448;;;
449;;;
450;;;
451;;;
452;;;
453;;;
454;;;
455;;;
456;;;
457;;;
458;;;
459;;;
460;;;
461;;;
462;;;
463;;;
464;;;
465;;;
466;;;
467;;;
468;;;
469;;;
470;;;
471;;;
472;;;
473;;;
474;;;
475;;;
476;;;
477;;;
478;;;
479;;;
480;;;
481;;;
482;;;
483;;;
484;;;
485;;;
486;;;
487;;;
488;;;
489;;;
490;;;
491;;;
492;;;
493;;;
494;;;
495;;;
496;;;
497;;;
498;;;
499;;;
500;;;
501;;;
502;;;
503;;;
504;;;
505;;;
506;;;
507;;;
508;;;
509;;;
510;;;
511;;;
512;;;
513;;;
514;;;
515;;;
516;;;
517;;;
518;;;
519;;;
520;;;
521;;;
522;;;
523;;;
524;;;
525;;;
526;;;
527;;;
528;;;
529;;;
530;;;
531;;;
532;;;
533;;;
534;;;
535;;;
536;;;
537;;;
538;;;
539;;;
540;;;
541;;;
542;;;
543;;;
544;;;
545;;;
546;;;
547;;;
548;;;
549;;;
550;;;
551;;;
552;;;
553;;;
554;;;
555;;;
556;;;
557;;;
558;;;
559;;;
560;;;
561;;;
562;;;
563;;;
564;;;
565;;;
566;;;
567;;;
568;;;
569;;;
570;;;
571;;;
572;;;
573;;;
574;;;
575;;;
576;;;
577;;;
578;;;
579;;;
580;;;
581;;;
582;;;
583;;;
584;;;
585;;;
586;;;
587;;;
588;;;
589;;;
590;;;
591;;;
592;;;
593;;;
594;;;
595;;;
596;;;
597;;;
598;;;
599;;;
600;;;
601;;;
602;;;
603;;;
604;;;
605;;;
606;;;
607;;;
608;;;
609;;;
610;;;
611;;;
612;;;
613;;;
614;;;
615;;;
616;;;
617;;;
618;;;
619;;;
620;;;
621;;;
622;;;
623;;;
624;;;
625;;;
626;;;
627;;;
628;;;
629;;;
630;;;
631;;;
632;;;
633;;;
634;;;
635;;;
636;;;
637;;;
638;;;
639;;;
640;;;
641;;;
642;;;
643;;;
644;;;
645;;;
646;;;
647;;;
648;;;
649;;;
650;;;
651;;;
652;;;
653;;;
654;;;
655;;;
656;;;
657;;;
658;;;
659;;;
660;;;
661;;;
662;;;
663;;;
664;;;
665;;;
666;;;
667;;;
668;;;
669;;;
670;;;
671;;;
672;;;
673;;;
674;;;
675;;;
676;;;
677;;;
678;;;
679;;;
680;;;
681;;;
682;;;
683;;;
684;;;
685;;;
686;;;
687;;;
688;;;
689;;;
690;;;
691;;;
692;;;
693;;;
694;;;
695;;;
696;;;
697;;;
698;;;
699;;;
700;;;
701;;;
702;;;
703;;;
704;;;
705;;;
706;;;
707;;;
708;;;
709;;;
710;;;
711;;;
712;;;
713;;;
714;;;
715;;;
716;;;
717;;;
718;;;
719;;;
720;;;
721;;;
722;;;
723;;;
724;;;
725;;;
726;;;
727;;;
728;;;
729;;;
730;;;
731;;;
732;;;
733;;;
734;;;
735;;;
736;;;
737;;;
738;;;
739;;;
740;;;
741;;;
742;;;
743;;;
744;;;
745;;;
746;;;
747;;;
748;;;
749;;;
750;;;
751;;;
752;;;
753;;;
754;;;
755;;;
756;;;
757;;;
758;;;
759;;;
760;;;
761;;;
762;;;
763;;;
764;;;
765;;;
766;;;
767;;;
768;;;
769;;;
770;;;
771;;;
772;;;
773;;;
774;;;
775;;;
776;;;
777;;;
778;;;
779;;;
780;;;
781;;;
782;;;
783;;;
784;;;
785;;;
786;;;
787;;;
788;;;
789;;;
790;;;
791;;;
792;;;
793;;;
794;;;
795;;;
796;;;
797;;;
798;;;
799;;;
800;;;
801;;;
802;;;
803;;;
804;;;
805;;;
806;;;
807;;;
808;;;
809;;;
810;;;
811;;;
812;;;
813;;;
814;;;
815;;;
816;;;
817;;;
818;;;
819;;;
820;;;
821;;;
822;;;
823;;;
824;;;
825;;;
826;;;
827;;;
828;;;
829;;;
830;;;
831;;;
832;;;
833;;;
834;;;
835;;;
836;;;
837;;;
838;;;
839;;;
840;;;
841;;;
842;;;
843;;;
844;;;
845;;;
846;;;
847;;;
848;;;
849;;;
850;;;
851;;;
852;;;
853;;;
854;;;
855;;;
856;;;
857;;;
858;;;
859;;;
860;;;
861;;;
862;;;
863;;;
864;;;
865;;;
866;;;
867;;;
868;;;
869;;;
870;;;
871;;;
872;;;
873;;;
874;;;
875;;;
876;;;
877;;;
878;;;
879;;;
880;;;
881;;;
882;;;
883;;;
884;;;
885;;;
886;;;
887;;;
888;;;
889;;;
890;;;
891;;;
892;;;
893;;;
894;;;
895;;;
896;;;
897;;;
898;;;
899;;;
900;;;
901;;;
902;;;
903;;;
904;;;
905;;;
906;;;
907;;;
908;;;
909;;;
910;;;
911;;;
912;;;
913;;;
914;;;
915;;;
916;;;
917;;;
918;;;
919;;;
920;;;
921;;;
922;;;
923;;;
924;;;
925;;;
926;;;
927;;;
928;;;
929;;;
930;;;
931;;;
932;;;
933;;;
934;;;
935;;;
936;;;
937;;;
938;;;
939;;;
940;;;
941;;;
942;;;
943;;;
944;;;
945;;;
946;;;
947;;;
948;;;
949;;;
950;;;
951;;;
952;;;
953;;;
954;;;
955;;;
956;;;
957;;;
958;;;
959;;;
960;;;
961;;;
962;;;
963;;;
964;;;
965;;;
966;;;
967;;;
968;;;
969;;;
970;;;
971;;;
972;;;
973;;;
974;;;
975;;;
976;;;
977;;;
978;;;
979;;;
980;;;
981;;;
982;;;
983;;;
984;;;
985;;;
986;;;
987;;;
988;;;
989;;;
990;;;
991;;;
992;;;
993;;;
994;;;
995;;;
996;;;
997;;;
998;;;
999;;;
1000;;;
